datetime,open_interest,oi_usd
2026-03-30 11:00:00,2172106.88,4468241062.848
2026-03-30 12:00:00,2180846.222,4514766040.32218
2026-03-30 13:00:00,2195131.349,4552065829.73479
2026-03-30 14:00:00,2215047.191,4563107965.81955
2026-03-30 15:00:00,2205541.387,4567268785.727894
2026-03-30 16:00:00,2227172.646,4618131568.38684
2026-03-30 17:00:00,2223259.725,4591409286.27825
2026-03-30 18:00:00,2205421.627,4500537751.57009
2026-03-30 19:00:00,2184408.642,4438128570.21066
2026-03-30 20:00:00,2170651.83,4390989880.3887
2026-03-30 21:00:00,2178166.742,4404841257.34434
2026-03-30 22:00:00,2155705.067,4386807681.998841
2026-03-30 23:00:00,2151261.373,4371965463.12044
2026-03-31 00:00:00,2145796.198,4346481862.74484
2026-03-31 01:00:00,2143563.914,4363245782.58614
2026-03-31 02:00:00,2154108.54,4464504467.569949
2026-03-31 03:00:00,2168155.151,4492797068.098812
2026-03-31 04:00:00,2162121.394,4466769830.29248
2026-03-31 05:00:00,2154233.677,4437594191.33496
2026-03-31 06:00:00,2156384.028,4449461239.53492
2026-03-31 07:00:00,2161769.159,4456033149.75511
2026-03-31 08:00:00,2153865.877,4426172838.57623
2026-03-31 09:00:00,2152381.916,4389035537.004732
2026-03-31 10:00:00,2153369.748,4343045309.95128
2026-03-31 11:00:00,2160629.144,4375716794.827425
2026-03-31 12:00:00,2158684.259,4404212385.73957
2026-03-31 13:00:00,2160115.997,4421552837.662856
2026-03-31 14:00:00,2161150.732,4481297708.664804
2026-03-31 15:00:00,2172805.601,4443952383.50126
2026-03-31 16:00:00,2173875.383,4464813955.37455
2026-03-31 17:00:00,2223305.59,4647995873.630667
2026-03-31 18:00:00,2275173.163,4760970922.493284
2026-03-31 19:00:00,2290869.13,4809603997.674006
2026-03-31 20:00:00,2292672.193,4806337457.987647
2026-03-31 21:00:00,2290069.024,4824259405.9584
2026-03-31 22:00:00,2291205.708,4814945883.30492
2026-03-31 23:00:00,2287206.93,4793139458.7159
2026-04-01 00:00:00,2288119.701,4815553841.52759
2026-04-01 01:00:00,2277425.063,4813406193.40239
2026-04-01 02:00:00,2274358.844,4757981445.23644
2026-04-01 03:00:00,2273252.681,4745574099.27517
2026-04-01 04:00:00,2284410.884,4803316545.2426
2026-04-01 05:00:00,2297353.613,4848289117.80294
2026-04-01 06:00:00,2303931.774,4888402668.812996
2026-04-01 07:00:00,2297376.517,4940207101.001481
2026-04-01 08:00:00,2306124.469,4912598588.84256
2026-04-01 09:00:00,2310320.178,4934928374.177408
2026-04-01 10:00:00,2319267.099,4952803537.719347
2026-04-01 11:00:00,2320331.969,4946405922.246981
2026-04-01 12:00:00,2323961.384,4960449094.92032
2026-04-01 13:00:00,2325929.696,4953346399.19552
2026-04-01 14:00:00,2314496.918,4903053416.06038
2026-04-01 15:00:00,2315769.982,4922701723.83686
2026-04-01 16:00:00,2313861.181,4938200075.821608
2026-04-01 17:00:00,2307030.428,4948593573.719572
2026-04-01 18:00:00,2293525.85,4899315244.4775
2026-04-01 19:00:00,2286507.335,4865984854.83355
2026-04-01 20:00:00,2286402.986,4892970982.12958
2026-04-01 21:00:00,2281520.871,4888412528.501708
2026-04-01 22:00:00,2292609.073,4943221475.480473
2026-04-01 23:00:00,2295353.847,4908950533.421036
2026-04-02 00:00:00,2292774.765,4903871069.80912
2026-04-02 01:00:00,2309482.622,4976535984.030082
2026-04-02 02:00:00,2341397.774,4913819578.376683
2026-04-02 03:00:00,2278976.267,4723839216.47493
2026-04-02 04:00:00,2231965.36,4586889163.666355
2026-04-02 05:00:00,2220678.059,4537911200.00532
